iter	Logloss
0	0.62774518
1	0.5864049627
2	0.5474948048
3	0.5187107394
4	0.493832478
5	0.47820601
6	0.465968966
7	0.4564849452
8	0.4487718201
9	0.4416063513
10	0.4358111544
11	0.4304862673
12	0.4258695524
13	0.422769005
14	0.4191049058
15	0.4156450384
16	0.4133631787
17	0.4115024945
18	0.4093173327
19	0.4074198587
20	0.4056168758
21	0.4038473929
22	0.4021080706
23	0.4004379605
24	0.3995371385
25	0.3976611881
26	0.3962151954
27	0.3949537513
28	0.3931667373
29	0.3920613695
30	0.3914466193
31	0.3905220825
32	0.3895145347
33	0.3883818919
34	0.3874562631
35	0.3863885094
36	0.3855998152
37	0.384680844
38	0.3836048206
39	0.382631024
40	0.3820389204
41	0.3815062187
42	0.3809414349
43	0.3802689895
44	0.3797072013
45	0.3790325686
46	0.3781925983
47	0.3773778419
48	0.3768321019
49	0.3757480652
50	0.3752730603
51	0.374523242
52	0.3740068343
53	0.3730109385
54	0.3723276367
55	0.3718405366
56	0.3712278212
57	0.370243547
58	0.3696676801
59	0.3689682917
60	0.3683772696
61	0.367942759
62	0.3674322005
63	0.3667772765
64	0.3658654726
65	0.3653315637
66	0.3647806859
67	0.3639875334
68	0.3633231022
69	0.3625831761
70	0.3620968845
71	0.3618611129
72	0.3615769781
73	0.3607989929
74	0.3600815814
75	0.3591779853
76	0.3587545456
77	0.3582965075
78	0.357721715
79	0.3570587315
80	0.3565681666
81	0.3561378328
82	0.3558785946
83	0.3552245465
84	0.3545592748
85	0.3539807556
86	0.3534301021
87	0.3526903904
88	0.352284635
89	0.3517754436
90	0.3508654064
91	0.3505466008
92	0.3499175287
93	0.3495354497
94	0.3491173183
95	0.3488811192
96	0.3482745444
97	0.3476187735
98	0.3470046947
99	0.3463700091
