iter	Passed	Remaining
0	10	1086
1	19	960
2	55	1808
3	67	1628
4	75	1425
5	116	1829
6	149	1982
7	215	2481
8	224	2271
9	235	2118
10	243	1972
11	254	1866
12	261	1750
13	267	1643
14	274	1555
15	280	1471
16	286	1399
17	291	1329
18	297	1266
19	303	1212
20	309	1162
21	314	1114
22	319	1070
23	325	1031
24	330	992
25	336	956
26	341	922
27	346	890
28	352	862
29	358	835
30	363	808
31	368	782
32	375	761
33	381	740
34	386	718
35	391	696
36	398	677
37	404	660
38	410	642
39	416	624
40	421	606
41	425	587
42	430	571
43	435	554
44	440	538
45	446	524
46	451	509
47	456	494
48	461	480
49	466	466
50	473	454
51	478	441
52	483	428
53	488	415
54	493	403
55	500	392
56	506	381
57	511	370
58	516	359
59	522	348
60	527	337
61	532	326
62	537	315
63	543	305
64	548	295
65	553	285
66	559	275
67	564	265
68	570	256
69	575	246
70	580	237
71	585	227
72	590	218
73	597	209
74	603	201
75	660	208
76	686	205
77	701	197
78	710	188
79	765	191
80	773	181
81	795	174
82	840	172
83	858	163
84	865	152
85	871	141
86	880	131
87	887	120
88	893	110
89	898	99
90	904	89
91	910	79
92	915	68
93	921	58
94	927	48
95	932	38
96	938	29
97	943	19
98	948	9
99	953	0
