,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,7590-VHVEG,Female,False,True,False,1,False,,DSL,False,True,False,False,False,False,Month-to-month,True,Electronic check,29.850000381469727,29.850000381469727,False
1,5575-GNVDE,Male,False,False,False,34,True,False,DSL,True,False,True,False,False,False,One year,False,Mailed check,56.95000076293945,1889.5,False
2,3668-QPYBK,Male,False,False,False,2,True,False,DSL,True,True,False,False,False,False,Month-to-month,True,Mailed check,53.849998474121094,108.1500015258789,True
3,7795-CFOCW,Male,False,False,False,45,False,,DSL,True,False,True,True,False,False,One year,False,Bank transfer (automatic),42.29999923706055,1840.75,False
4,9237-HQITU,Female,False,False,False,2,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,70.69999694824219,151.64999389648438,True
5,9305-CDSKC,Female,False,False,False,8,True,True,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Electronic check,99.6500015258789,820.5,True
6,1452-KIOVK,Male,False,False,True,22,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,True,Credit card (automatic),89.0999984741211,1949.4000244140625,False
7,6713-OKOMC,Female,False,False,False,10,False,,DSL,True,False,False,False,False,False,Month-to-month,False,Mailed check,29.75,301.8999938964844,False
8,7892-POOKP,Female,False,True,False,28,True,True,Fiber optic,False,False,True,True,True,True,Month-to-month,True,Electronic check,104.80000305175781,3046.050048828125,True
9,6388-TABGU,Male,False,False,True,62,True,False,DSL,True,True,False,False,False,False,One year,False,Bank transfer (automatic),56.150001525878906,3487.949951171875,False
10,9763-GRSKD,Male,False,True,True,13,True,False,DSL,True,False,False,False,False,False,Month-to-month,True,Mailed check,49.95000076293945,587.4500122070312,False
11,7469-LKBCI,Male,False,False,False,16,True,False,No,,,,,,,Two year,False,Credit card (automatic),18.950000762939453,326.79998779296875,False
12,8091-TTVAX,Male,False,True,False,58,True,True,Fiber optic,False,False,True,False,True,True,One year,False,Credit card (automatic),100.3499984741211,5681.10009765625,False
13,0280-XJGEX,Male,False,False,False,49,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Bank transfer (automatic),103.69999694824219,5036.2998046875,True
14,5129-JLPIS,Male,False,False,False,25,True,False,Fiber optic,True,False,True,True,True,True,Month-to-month,True,Electronic check,105.5,2686.050048828125,False
15,3655-SNQYZ,Female,False,True,True,69,True,True,Fiber optic,True,True,True,True,True,True,Two year,False,Credit card (automatic),113.25,7895.14990234375,False
16,8191-XWSZG,Female,False,False,False,52,True,False,No,,,,,,,One year,False,Mailed check,20.649999618530273,1022.9500122070312,False
17,9959-WOFKT,Male,False,False,True,71,True,True,Fiber optic,True,False,True,False,True,True,Two year,False,Bank transfer (automatic),106.69999694824219,7382.25,False
18,4190-MFLUW,Female,False,True,True,10,True,False,DSL,False,False,True,True,False,False,Month-to-month,False,Credit card (automatic),55.20000076293945,528.3499755859375,True
19,4183-MYFRB,Female,False,False,False,21,True,False,Fiber optic,False,True,True,False,False,True,Month-to-month,True,Electronic check,90.05000305175781,1862.9000244140625,False
20,8779-QRDMV,Male,True,False,False,1,False,,DSL,False,False,True,False,False,True,Month-to-month,True,Electronic check,39.650001525878906,39.650001525878906,True
21,1680-VDCWW,Male,False,True,False,12,True,False,No,,,,,,,One year,False,Bank transfer (automatic),19.799999237060547,202.25,False
22,1066-JKSGK,Male,False,False,False,1,True,False,No,,,,,,,Month-to-month,False,Mailed check,20.149999618530273,20.149999618530273,True
23,3638-WEABW,Female,False,True,False,58,True,True,DSL,False,True,False,True,False,False,Two year,True,Credit card (automatic),59.900001525878906,3505.10009765625,False
24,6322-HRPFA,Male,False,True,True,49,True,False,DSL,True,True,False,True,False,False,Month-to-month,False,Credit card (automatic),59.599998474121094,2970.300048828125,False
25,6865-JZNKO,Female,False,False,False,30,True,False,DSL,True,True,False,False,False,False,Month-to-month,True,Bank transfer (automatic),55.29999923706055,1530.5999755859375,False
26,6467-CHFZW,Male,False,True,True,47,True,True,Fiber optic,False,True,False,False,True,True,Month-to-month,True,Electronic check,99.3499984741211,4749.14990234375,True
27,8665-UTDHZ,Male,False,True,True,1,False,,DSL,False,True,False,False,False,False,Month-to-month,False,Electronic check,30.200000762939453,30.200000762939453,True
28,5248-YGIJN,Male,False,True,False,72,True,True,DSL,True,True,True,True,True,True,Two year,True,Credit card (automatic),90.25,6369.4501953125,False
29,8773-HHUOZ,Female,False,False,True,17,True,False,DSL,False,False,False,False,True,True,Month-to-month,True,Mailed check,64.69999694824219,1093.0999755859375,True
30,3841-NFECX,Female,True,True,False,71,True,True,Fiber optic,True,True,True,True,False,False,Two year,True,Credit card (automatic),96.3499984741211,6766.9501953125,False
31,4929-XIHVW,Male,True,True,False,2,True,False,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Credit card (automatic),95.5,181.64999389648438,False
32,6827-IEAUQ,Female,False,True,True,27,True,False,DSL,True,True,True,True,False,False,One year,False,Mailed check,66.1500015258789,1874.449951171875,False
33,7310-EGVHZ,Male,False,False,False,1,True,False,No,,,,,,,Month-to-month,False,Bank transfer (automatic),20.200000762939453,20.200000762939453,False
34,3413-BMNZE,Male,True,False,False,1,True,False,DSL,False,False,False,False,False,False,Month-to-month,False,Bank transfer (automatic),45.25,45.25,False
35,6234-RAAPL,Female,False,True,True,72,True,True,Fiber optic,True,True,False,True,True,False,Two year,False,Bank transfer (automatic),99.9000015258789,7251.7001953125,False
36,6047-YHPVI,Male,False,False,False,5,True,False,Fiber optic,False,False,False,False,False,False,Month-to-month,True,Electronic check,69.69999694824219,316.8999938964844,True
37,6572-ADKRS,Female,False,False,False,46,True,False,Fiber optic,False,False,True,False,False,False,Month-to-month,True,Credit card (automatic),74.80000305175781,3548.300048828125,False
38,5380-WJKOV,Male,False,False,False,34,True,True,Fiber optic,False,True,True,False,True,True,Month-to-month,True,Electronic check,106.3499984741211,3549.25,True
39,8168-UQWWF,Female,False,False,False,11,True,True,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Bank transfer (automatic),97.8499984741211,1105.4000244140625,True
40,8865-TNMNX,Male,False,True,True,10,True,False,DSL,False,True,False,False,False,False,One year,False,Mailed check,49.54999923706055,475.70001220703125,False
41,9489-DEDVP,Female,False,True,True,70,True,True,DSL,True,True,False,False,True,False,Two year,True,Credit card (automatic),69.19999694824219,4872.35009765625,False
42,9867-JCZSP,Female,False,True,True,17,True,False,No,,,,,,,One year,False,Mailed check,20.75,418.25,False
43,4671-VJLCL,Female,False,False,False,63,True,True,DSL,True,True,True,True,True,False,Two year,True,Credit card (automatic),79.8499984741211,4861.4501953125,False
44,4080-IIARD,Female,False,True,False,13,True,True,DSL,True,True,False,True,True,False,Month-to-month,True,Electronic check,76.19999694824219,981.4500122070312,False
45,3714-NTNFO,Female,False,False,False,49,True,True,Fiber optic,False,False,False,False,False,True,Month-to-month,True,Electronic check,84.5,3906.699951171875,False
46,5948-UJZLF,Male,False,False,False,2,True,False,DSL,False,True,False,False,False,False,Month-to-month,False,Mailed check,49.25,97.0,False
47,7760-OYPDY,Female,False,False,False,2,True,False,Fiber optic,False,False,False,False,True,False,Month-to-month,True,Electronic check,80.6500015258789,144.14999389648438,True
48,7639-LIAYI,Male,False,False,False,52,True,True,DSL,True,False,False,True,True,True,Two year,True,Credit card (automatic),79.75,4217.7998046875,False
49,2954-PIBKO,Female,False,True,True,69,True,True,DSL,True,False,True,True,False,False,Two year,True,Credit card (automatic),64.1500015258789,4254.10009765625,False
50,8012-SOUDQ,Female,True,False,False,43,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,True,Electronic check,90.25,3838.75,False
51,9420-LOJKX,Female,False,False,False,15,True,False,Fiber optic,True,True,False,False,True,True,Month-to-month,True,Credit card (automatic),99.0999984741211,1426.4000244140625,True
52,6575-SUVOI,Female,True,True,False,25,True,True,DSL,True,False,False,True,True,False,Month-to-month,True,Credit card (automatic),69.5,1752.6500244140625,False
53,7495-OOKFY,Female,True,True,False,8,True,True,Fiber optic,False,True,False,False,False,False,Month-to-month,True,Credit card (automatic),80.6500015258789,633.2999877929688,True
54,4667-QONEA,Female,True,True,True,60,True,False,DSL,True,True,True,True,False,True,One year,True,Credit card (automatic),74.8499984741211,4456.35009765625,False
55,1658-BYGOY,Male,True,False,False,18,True,True,Fiber optic,False,False,False,False,True,True,Month-to-month,True,Electronic check,95.44999694824219,1752.550048828125,True
56,8769-KKTPH,Female,False,True,True,63,True,True,Fiber optic,True,False,False,False,True,True,One year,True,Credit card (automatic),99.6500015258789,6311.2001953125,False
57,5067-XJQFU,Male,True,True,True,66,True,True,Fiber optic,False,True,True,True,True,True,One year,True,Electronic check,108.44999694824219,7076.35009765625,False
58,3957-SQXML,Female,False,True,True,34,True,True,No,,,,,,,Two year,False,Credit card (automatic),24.950000762939453,894.2999877929688,False
59,5954-BDFSG,Female,False,False,False,72,True,True,Fiber optic,False,False,True,True,True,True,Two year,True,Credit card (automatic),107.5,7853.7001953125,False
60,0434-CSFON,Female,False,True,False,47,True,True,Fiber optic,False,False,True,False,True,True,Month-to-month,True,Electronic check,100.5,4707.10009765625,False
61,1215-FIGMP,Male,False,False,False,60,True,True,Fiber optic,False,True,False,False,True,False,Month-to-month,True,Bank transfer (automatic),89.9000015258789,5450.7001953125,False
62,0526-SXDJP,Male,False,True,False,72,False,,DSL,True,True,True,False,False,False,Two year,False,Bank transfer (automatic),42.099998474121094,2962.0,False
63,0557-ASKVU,Female,False,True,True,18,True,False,DSL,False,False,True,True,False,False,One year,True,Credit card (automatic),54.400001525878906,957.0999755859375,False
64,5698-BQJOH,Female,False,False,False,9,True,True,Fiber optic,False,False,False,False,True,True,Month-to-month,False,Electronic check,94.4000015258789,857.25,True
65,5122-CYFXA,Female,False,False,False,3,True,False,DSL,False,True,False,True,True,True,Month-to-month,True,Electronic check,75.30000305175781,244.10000610351562,False
66,8627-ZYGSZ,Male,False,True,False,47,True,True,Fiber optic,False,True,False,False,False,False,One year,True,Electronic check,78.9000015258789,3650.35009765625,False
67,3410-YOQBQ,Female,False,False,False,31,True,False,DSL,False,True,True,True,True,True,Two year,False,Mailed check,79.19999694824219,2497.199951171875,False
68,3170-NMYVV,Female,False,True,True,50,True,False,No,,,,,,,Two year,False,Bank transfer (automatic),20.149999618530273,930.9000244140625,False
69,7410-OIEDU,Male,False,False,False,10,True,False,Fiber optic,True,False,True,False,False,False,Month-to-month,True,Mailed check,79.8499984741211,887.3499755859375,False
70,2273-QCKXA,Male,False,False,False,1,True,False,DSL,False,False,False,True,False,False,Month-to-month,False,Mailed check,49.04999923706055,49.04999923706055,False
71,0731-EBJQB,Female,False,True,True,52,True,False,No,,,,,,,One year,True,Electronic check,20.399999618530273,1090.6500244140625,False
72,1891-QRQSA,Male,True,True,True,64,True,True,Fiber optic,True,False,True,True,True,True,Two year,True,Bank transfer (automatic),111.5999984741211,7099.0,False
73,8028-PNXHQ,Male,False,True,True,62,True,True,No,,,,,,,Two year,True,Bank transfer (automatic),24.25,1424.5999755859375,False
74,5630-AHZIL,Female,False,False,True,3,True,False,DSL,True,False,False,True,False,True,Month-to-month,True,Bank transfer (automatic),64.5,177.39999389648438,False
75,2673-CXQEU,Female,True,False,False,56,True,True,Fiber optic,True,True,True,False,True,True,One year,False,Electronic check,110.5,6139.5,False
76,6416-JNVRK,Female,False,False,False,46,True,False,DSL,False,False,False,False,False,True,One year,False,Credit card (automatic),55.650001525878906,2688.85009765625,False
77,5590-ZSKRV,Female,False,True,True,8,True,False,DSL,True,True,False,False,False,False,Month-to-month,False,Mailed check,54.650001525878906,482.25,False
78,0191-ZHSKZ,Male,True,False,False,30,True,False,DSL,True,True,False,False,True,True,Month-to-month,True,Electronic check,74.75,2111.300048828125,False
79,3887-PBQAO,Female,False,True,True,45,True,True,No,,,,,,,One year,True,Credit card (automatic),25.899999618530273,1216.5999755859375,False
80,5919-TMRGD,Female,False,False,True,1,True,False,Fiber optic,False,False,False,False,True,False,Month-to-month,True,Electronic check,79.3499984741211,79.3499984741211,True
81,8108-UXRQN,Female,False,True,True,11,False,,DSL,True,False,False,False,True,True,Month-to-month,False,Electronic check,50.54999923706055,565.3499755859375,False
82,9191-MYQKX,Female,False,True,False,7,True,False,Fiber optic,False,False,True,False,False,False,Month-to-month,True,Bank transfer (automatic),75.1500015258789,496.8999938964844,True
